Age,Gender,Kids,Edu,Work Status,Annual Income,Current Occupation,How long have you held this position?: Years,How long have you held this position?: Months,Community size,Country of residence,Marital Status,Number of sons,Number of daughters,(DP 1) I waste a lot of time on trivial matters before getting to the final decisions,(DP 2) Even after I make a decision I delay acting upon it,(DP 3) I don’t make decisions unless I really have to,(DP 4) I delay making decisions until it’s too late,(DP 5) I put off making decisions until it’s too late,(AIP 1) I pay my bills on time,(AIP 2)I am prompt and on time for most appointments.,"(AIP 3)I lay out my clothes the night before I have an important appointment, so I won’t be late",(AIP 4) I find myself running later than I would like to be,(AIP 5) I don’t get things done on time,"(AIP 6) If someone were teaching a course on how to get things done on time, I would attend",(AIP 7) My friends and family think I wait until the last minute.,(AIP 8) I get important things done with time to spare,(AIP 9) I am not very good at meeting deadlines,(AIP 10) I find myself running out of time.,(AIP 11) I schedule doctor’s appointments when I am supposed to without delay,(AIP 12) I am more punctual than most people I know,"(AIP 13) I do routine maintenance (e.g., changing the car oil) on things I own as often as I should",(AIP 14)When I have to be somewhere at a certain time my friends expect me to run a bit late,(AIP 15)Putting things off till the last minute has cost me money in the past,(GP 1)I often find myself performing tasks that I had intended to do days before,"(GP2) I often miss concerts, sporting events, or the like because I don’t get around to buying tickets on time","(GP 3) When planning a party, I make the necessary arrangements well in advance","(GP 4) When it is time to get up in the morning, I most often get right out of bed",(GP 5) A letter may sit for days after I write it before mailing it possible,(GP 6) I generally return phone calls promptly,"(GP 7) Even jobs that require little else except sitting down and doing them, I find that they seldom get done for days",(GP 8) I usually make decisions as soon as possible,(GP 9) I generally delay before starting on work I have to do,"(GP 10) When traveling, I usually have to rush in preparing to arrive at the airport or station at the appropriate time","(GP 11) When preparing to go out, I am seldom caught having to do something at the last minute","(GP 12) In preparation for some deadlines, I often waste time by doing other things","(GP 13) If a bill for a small amount comes, I pay it right away",(GP 14) I usually return a “RSVP” request very shortly after receiving it,(GP 15) I often have a task finished sooner than necessary,(GP 16) I always seem to end up shopping for birthday gifts at the last minute,(GP 17) I usually buy even an essential item at the last minute,(GP 18) I usually accomplish all the things I plan to do in a day,(GP 19) I am continually saying “I’ll do it tomorrow”,(GP 20) I usually take care of all the tasks I have to do before I settle down and relax for the evening,(SWLS 1) In most ways my life is close to my ideal,(SWLS 2)The conditions of my life are excellent,(SWLS 3) I am satisfied with my life.,(SWLS 4) So far I have gotten the important things I want in life,"(SWLS 5) If I could live my life over, I would change almost nothing",Do you consider yourself a procrastinator?,Do others consider you a procrastinator?
32.5,Male,Yes Kids,dip,full-time,25000,,6,0,Rural/Country,Antigua,Divorced,Female,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,yes,yes
55,Male,Yes Kids,phd,full-time,35000,,1.50E-19,0,Village,Vietnam,Married,0,2,3,3,4,2,2,4,3,2,4,4,4,4,2,4,4,1,2,4,4,4,3,4,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,no,yes
25,Male,No Kids,deg,full-time,15000,,0,0,Small Town,Lithuania,Single,0,0,5,5,5,4,4,1,1,4,1,2,5,5,4,4,5,4,3,1,1,5,4,3,4,4,1,4,3,5,2,1,2,4,3,2,4,5,5,4,5,4,5,5,4,5,5,yes,yes
28,Male,No Kids,grade,full-time,150000,,1,3,Small Town,Saudi Arabia,Single,0,0,5,4,5,4,4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3,3,4,2,2,yes,yes
55,Male,Yes Kids,ltuni,full-time,250000,,,0,Small Town,Saudi Arabia,Separated,Male,1,2,2,1,1,1,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2,1,3,2,1,no,yes
55,Female,Yes Kids,phd,full-time,10000,,,0,Small Town,Bulgaria,Widowed,Male,0,4,4,3,3,3,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,1,3,2,3,2,yes,no
28,Female,No Kids,ltuni,unemployed,10000,,0,0,Village,Bulgaria,Married,0,0,5,5,5,5,4,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,1,1,1,1,1,yes,yes
55,Female,No Kids,phd,full-time,10000,,5,0,Small Town,Macedonia,Married,0,0,4,4,4,2,2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3,3,2,3,2,yes,no
28,Female,Yes Kids,deg,full-time,,,8,9,Small Town,Sri Lanka,Married,0,1,5,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,5,4,3,4,2,yes,no
45,Male,Yes Kids,ma,full-time,55000,,1,0,Village,Ecuador,Married,Female,1,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,2,3,2,3,2,yes,yes
45,Male,Yes Kids,deg,full-time,35000,,5,0,Village,Ecuador,Married,Female,2,5,5,4,4,4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,yes,yes
37.5,Male,Yes Kids,dip,full-time,10000,,3,0,Village,Ecuador,Divorced,Male,0,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,yes,no
55,Male,No Kids,deg,full-time,87500,,2.10E-24,6,Large Town,Afghanistan,Married,0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,yes,no
55,Female,Yes Kids,deg,full-time,10000,,7,0,Village,Afghanistan,Divorced,4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,no,yes
80,Female,No Kids,grade,unemployed,10000,,0,0,Medium-Sized,Afghanistan,Single,0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,yes,no
55,Male,Yes Kids,ma,full-time,150000,,2.10E-24,0,Large Town,Afghanistan,Married,4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,yes,yes
20,Male,No Kids,high,student,,,1.50E-19,0,Village,Panama,Single,0,0,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3,1,4,1,yes,no
45,Female,No Kids,phd,full-time,87500,,10,6,Small Town,Guam,Divorced,0,0,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2,3,2,4,2,yes,no
37.5,Male,Yes Kids,ma,full-time,10000,,0,0,Small Town,Pakistan,Married,Male,1,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,yes,yes
16.5,Male,No Kids,lthigh,student,,,10,0,Small Town,Estonia,Single,0,0,5,5,4,4,4,3,4,5,4,4,4,5,4,4,5,3,4,3,4,3,5,3,3,4,3,2,5,4,4,3,5,5,3,3,4,4,3,4,5,4,1,3,3,2,1,yes,yes
23,Female,No Kids,deg,full-time,35000,,0,3,Village,Kenya,Single,0,0,5,5,5,1,1,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3,3,3,2,3,yes,yes
32.5,Female,No Kids,ltuni,full-time,55000,,6,9,Village,Guyana,Single,0,0,2,2,3,1,1,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,4,4,4,3,3,no,no
23,Male,No Kids,ma,student,10000,,0,9,Village,Puerto Rico,Single,0,0,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,yes,yes
55,Female,Yes Kids,phd,full-time,67500,,,0,Small Town,Puerto Rico,Married,0,2,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,yes,yes
32.5,Female,Yes Kids,phd,unemployed,,,5,0,Medium-Sized,Puerto Rico,Married,3,0,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,yes,yes
37.5,Male,Yes Kids,deg,full-time,150000,0,2,0,Medium-Sized,Bermuda,Married,Male,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,yes,yes
19,Male,No Kids,ltuni,full-time,150000,,1,0,Small Town,Bermuda,Single,0,0,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,yes,yes
20,Male,No Kids,ltuni,student,10000,0,0,0,Large-City,Croatia,Single,0,0,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,yes,no
28,Male,No Kids,deg,full-time,15000,,1,0,Village,Croatia,Single,0,0,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,yes,no
45,Female,Yes Kids,deg,part-time,,,10,0,Village,Croatia,Married,Male,2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,yes,yes
37.5,Female,No Kids,deg,full-time,35000,,2,10,Village,Croatia,Married,0,0,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,yes,no
28,Male,No Kids,ltuni,unemployed,,0,0,0,Large-City,Taiwan,Single,0,0,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,yes,yes
32.5,Male,No Kids,deg,full-time,87500,financial analyst,0,6,Large-City,Hungary,Single,0,0,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,yes,no
55,Female,No Kids,ltuni,full-time,35000,language trainer,14,0,Large Town,Austria,Married,0,0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,yes,yes
32.5,Male,No Kids,deg,part-time,35000,Editor,0,2,Medium-Sized,Austria,Married,0,0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,yes,yes
37.5,Female,No Kids,ltuni,part-time,15000,,10,0,Village,Austria,Married,0,0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,yes,yes
80,Female,Yes Kids,phd,full-time,250000,ouh,30,11,Large-City,Brunei,Separated,10,10,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,yes,yes
80,Male,Yes Kids,ltuni,retired,250000,retired,14,7,Medium-Sized,Kazakhstan,Married,0,7,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,yes,yes
45,Female,Yes Kids,high,part-time,10000,Software Sales,30,0,Small Town,Malta,Married,Female,1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,yes,yes
32.5,Female,No Kids,ma,full-time,67500,,2,0,Rural/Country,Malta,Single,0,0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,yes,no
45,Female,No Kids,deg,full-time,,Civil servant,17,0,Small City,Luxembourg,Separated,0,0,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,yes,yes
16.5,Male,No Kids,ltuni,part-time,10000,please specify,17,0,Medium-Sized,Lebanon,Single,0,0,3,5,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,2,1,2,1,1,yes,yes
16.5,Female,No Kids,,student,,please specify,14,0,Medium-Sized,Singapore,Single,0,0,5,5,5,3,3,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3,2,2,2,2,yes,yes
7.5,Male,No Kids,lthigh,student,10000,,2,4,Large Town,Singapore,Single,0,0,4,4,3,1,1,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,1,1,1,1,1,yes,no
25,Female,No Kids,deg,full-time,15000,,2,0,Small Town,Singapore,Single,0,0,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,yes,no
28,Male,No Kids,deg,full-time,25000,,4,0,Village,Singapore,Single,0,0,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,yes,no
45,Male,No Kids,ma,full-time,150000,,6,0,Village,Singapore,Single,0,0,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,no,no
28,Male,No Kids,deg,full-time,25000,,0,3,Village,Singapore,Single,0,0,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,yes,yes
37.5,Male,Yes Kids,ma,full-time,150000,Economy,7,0,Large-City,Venezuela,Divorced,Male,1,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,yes,
45,Male,Yes Kids,dip,full-time,35000,sales manager,4,0,Small City,Venezuela,Married,Female,1,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,yes,yes
28,Female,No Kids,ma,part-time,25000,0,0,0,Large-City,Uruguay,Single,0,0,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,yes,no
24,Male,No Kids,high,student,,,0,0,Village,Uruguay,Single,0,0,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,yes,yes
32.5,Male,No Kids,dip,part-time,10000,,0,3,Small Town,Uruguay,Single,0,0,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,yes,yes
32.5,Female,No Kids,deg,full-time,67500,manager,3,0,Large-City,Argentina,Single,0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,yes,no
67.5,Male,Yes Kids,,part-time,150000,BUSINESS CONSULTA,12,0,Small Town,Argentina,Married,3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,,no
45,Male,Yes Kids,deg,full-time,55000,,7,0,Village,Argentina,Married,Male,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,yes,yes
16.5,Female,No Kids,lthigh,student,10000,,1,0,Small Town,Argentina,Single,0,0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,yes,no
37.5,Male,No Kids,deg,full-time,67500,0,17,0,Large-City,Egypt,Married,0,0,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,yes,yes
22,Female,No Kids,deg,full-time,10000,Copy Writer,0,3,Large-City,Nicaragua,Single,0,0,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,yes,yes
45,Male,No Kids,ma,full-time,67500,Gender/Public Health Consultant,3,0,Large-City,Myanmar,Married,0,0,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,yes,yes
45,Male,No Kids,ltuni,full-time,150000,chairman of the board,2,1,Large Town,Peru,Married,0,0,4,4,4,3,3,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3,3,2,3,2,yes,yes
16.5,Female,No Kids,lthigh,student,10000,,1,5,Village,Peru,Single,0,0,4,4,4,4,5,1,4,4,5,2,2,5,4,2,5,5,4,5,5,3,5,1,2,4,5,2,5,4,5,4,2,5,2,3,5,5,3,5,5,5,1,3,3,1,4,yes,no
45,Female,No Kids,deg,full-time,45000,,2.10E-24,0,Village,Peru,Divorced,0,0,2,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,5,5,5,5,5,yes,no
67.5,Male,Yes Kids,deg,part-time,87500,Media Consultant,4,0,Large-City,Albania,Divorced,0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,yes,no
45,Female,No Kids,ltuni,full-time,150000,,1.50E-19,0,Large Town,Albania,Single,0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,yes,no
22,Female,No Kids,deg,full-time,15000,Social Policy Analyst,1,3,Large-City,Dominican Republic,Single,0,0,5,5,3,3,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,2,4,3,4,3,yes,yes
80,Male,No Kids,ma,retired,45000,retired,17,0,Medium-Sized,Andorra,Single,0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,no,no
55,Male,Yes Kids,ma,full-time,250000,Finance,23,0,Large-City,Andorra,Married,0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,no,no
45,Female,No Kids,deg,full-time,55000,Translator,14,0,Medium-Sized,Slovenia,Single,0,0,5,5,5,5,5,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,5,4,4,4,4,3,3,5,3,4,4,5,4,3,3,4,4,3,yes,yes
32.5,Male,Yes Kids,ma,full-time,45000,manager,2,0,Medium-Sized,Slovenia,Married,Female,0,4,4,5,5,5,1,1,1,2,5,5,4,5,4,5,4,2,1,2,3,4,3,3,1,3,4,4,4,5,3,2,4,1,3,5,4,4,4,5,3,2,2,2,3,2,yes,yes
21,Male,No Kids,ltuni,student,10000,please specify,2,7,Medium-Sized,Slovenia,Single,0,0,5,5,4,4,4,4,5,5,4,3,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,3,4,4,4,4,1,4,4,4,5,5,4,5,3,4,4,4,4,4,4,yes,yes
