Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,CntryOfRes,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean
55,Female,1,phd,full-time,67500,NA,NA,0,Small Town,Puerto Rico,Married,0,2,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,1,1,4.6,3.67,3.85,2.8
32.5,Female,1,phd,unemployed,NA,NA,5,0,Medium-Sized,Puerto Rico,Married,3,0,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,1,1,5,3.8,4.05,2
37.5,Male,1,deg,full-time,15e4,NA,2,0,Medium-Sized,Bermuda,Married,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,1,1,3,2.73,2.55,3.4
19,Male,0,ltuni,full-time,15e4,NA,1,0,Small Town,Bermuda,Single,0,0,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,1,1,1.6,2,3.05,2
20,Male,0,ltuni,student,1e4,NA,0,0,Large-City,Croatia,Single,0,0,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,1,0,2,2.87,2.65,3.4
28,Male,0,deg,full-time,15e3,NA,1,0,Village,Croatia,Single,0,0,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,1,0,3.4,2.2,3.5,4
45,Female,1,deg,part-time,NA,NA,10,0,Village,Croatia,Married,1,2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,1,1,3.4,2.07,2.7,3.4
37.5,Female,0,deg,full-time,35e3,NA,2,10,Village,Croatia,Married,0,0,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,1,0,2,2.73,3,4.6
28,Male,0,ltuni,unemployed,NA,NA,0,0,Large-City,Taiwan,Single,0,0,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,1,1,5,4.6,4.8,1.4
32.5,Male,0,deg,full-time,87500,financial analyst,0,6,Large-City,Hungary,Single,0,0,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,1,0,2.4,2.53,2.3,3
55,Female,0,ltuni,full-time,35e3,language trainer,14,0,Large Town,Austria,Married,0,0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,1,1,4.4,3.13,3.75,3.4
32.5,Male,0,deg,part-time,35e3,Editor,0,2,Medium-Sized,Austria,Married,0,0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,1,1,3.6,2.73,3.25,2.6
37.5,Female,0,ltuni,part-time,15e3,NA,10,0,Village,Austria,Married,0,0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,1,1,4.2,4.2,4.3,1.8
80,Female,1,phd,full-time,25e4,ouh,30,11,Large-City,Brunei,Separated,10,10,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,1,1,5,3.13,3,5
80,Male,1,ltuni,retired,25e4,retired,14,7,Medium-Sized,Kazakhstan,Married,0,7,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,1,1,3.8,1.67,3.1,3.4
45,Female,1,high,part-time,1e4,Software & IT,30,0,Small Town,Malta,Married,0,1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,1,1,1.6,2.47,2.15,3
32.5,Female,0,ma,full-time,67500,NA,2,0,Rural/Country,Malta,Single,0,0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,1,0,2.4,3.2,2.65,2
45,Female,0,deg,full-time,NA,Civil servant,17,0,Small City,Luxembourg,Separated,0,0,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,1,1,2.6,1.87,2.3,3.2
16.5,Male,0,ltuni,part-time,1e4,NA,17,0,Medium-Sized,Lebanon,Single,0,0,3,5,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,2,1,2,1,1,1,1,4,3.4,3.25,1.4
16.5,Female,0,NA,student,NA,NA,14,0,Medium-Sized,Singapore,Single,0,0,5,5,5,3,3,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3,2,2,2,2,1,1,4.2,2.8,3.75,2.2
7.5,Male,0,lthigh,student,1e4,NA,2,4,Large Town,Singapore,Single,0,0,4,4,3,1,1,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,1,1,1,1,1,1,0,2.6,1.93,2.4,1
25,Female,0,deg,full-time,15e3,NA,2,0,Small Town,Singapore,Single,0,0,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,1,0,2,2.53,2.6,2.8
28,Male,0,deg,full-time,25e3,NA,4,0,Village,Singapore,Single,0,0,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,1,0,5,4.27,4.35,1
45,Male,0,ma,full-time,15e4,NA,6,0,Village,Singapore,Single,0,0,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,0,0,2.8,2.47,3.25,3
28,Male,0,deg,full-time,25e3,NA,0,3,Village,Singapore,Single,0,0,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,1,1,3.8,3.93,3.4,2
37.5,Male,1,ma,full-time,15e4,Economy,7,0,Large-City,Venezuela,Divorced,1,1,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,1,NA,2,2.93,3,2
45,Male,1,dip,full-time,35e3,Sales,4,0,Small City,Venezuela,Married,0,1,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,1,1,3.6,3.73,3.2,3.8
28,Female,0,ma,part-time,25e3,NA,0,0,Large-City,Uruguay,Single,0,0,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,1,0,2.2,2.8,2.8,4.8
24,Male,0,high,student,NA,NA,0,0,Village,Uruguay,Single,0,0,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,1,1,5,4,4.1,1.4
32.5,Male,0,dip,part-time,1e4,NA,0,3,Small Town,Uruguay,Single,0,0,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,1,1,4.6,4,4.1,4
32.5,Female,0,deg,full-time,67500,manager,3,0,Large-City,Argentina,Single,0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,1,0,1.8,1.87,2.35,3.6
67.5,Male,1,NA,part-time,15e4,BUSINESS CONSULTA,12,0,Small Town,Argentina,Married,3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,NA,0,3,2.67,2.6,3.4
45,Male,1,deg,full-time,55e3,NA,7,0,Village,Argentina,Married,1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,1,1,3.4,3,2.95,3.6
16.5,Female,0,lthigh,student,1e4,NA,1,0,Small Town,Argentina,Single,0,0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,1,0,1.8,2.93,3.25,3.4
37.5,Male,0,deg,full-time,67500,NA,17,0,Large-City,Egypt,Married,0,0,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,1,1,1.6,3.47,3.3,2.8
22,Female,0,deg,full-time,1e4,Writer,0,3,Large-City,Nicaragua,Single,0,0,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,1,1,3.6,3.53,3.35,3.8
45,Male,0,ma,full-time,67500,Gender/Public Health Consultant,3,0,Large-City,Myanmar,Married,0,0,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,1,1,1.4,3.53,3.85,3.4
45,Male,0,ltuni,full-time,15e4,chairman of the board,2,1,Large Town,Peru,Married,0,0,4,4,4,3,3,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3,3,2,3,2,1,1,3.6,3.4,3.75,2.6
16.5,Female,0,lthigh,student,1e4,NA,1,5,Village,Peru,Single,0,0,4,4,4,4,5,1,4,4,5,2,2,5,4,2,5,5,4,5,5,3,5,1,2,4,5,2,5,4,5,4,2,5,2,3,5,5,3,5,5,5,1,3,3,1,4,1,0,4.2,3.73,3.85,2.4
45,Female,0,deg,full-time,45e3,NA,0,0,Village,Peru,Divorced,0,0,2,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,5,5,5,5,5,1,0,1.2,1.73,2,5
67.5,Male,1,deg,part-time,87500,Media Consultant,4,0,Large-City,Albania,Divorced,0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,1,0,2.4,2.4,3,3.8
45,Female,0,ltuni,full-time,15e4,NA,0,0,Large Town,Albania,Single,0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,1,0,3.4,2.07,3.9,3
22,Female,0,deg,full-time,15e3,Social Policy Analyst,1,3,Large-City,Dominican Republic,Single,0,0,5,5,3,3,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,2,4,3,4,3,1,1,3.8,4.53,3.4,3.2
80,Male,0,ma,retired,45e3,retired,17,0,Medium-Sized,Andorra,Single,0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,0,0,1.4,1.47,2.05,4
55,Male,1,ma,full-time,25e4,Finance,23,0,Large-City,Andorra,Married,0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,0,0,2,2.4,2.55,3.6
45,Female,0,deg,full-time,55e3,Translator,14,0,Medium-Sized,Slovenia,Single,0,0,5,5,5,5,5,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,5,4,4,4,4,3,3,5,3,4,4,5,4,3,3,4,4,3,1,1,5,3.8,3.75,3.4
32.5,Male,1,ma,full-time,45e3,manager,2,0,Medium-Sized,Slovenia,Married,0,0,4,4,5,5,5,1,1,1,2,5,5,4,5,4,5,4,2,1,2,3,4,3,3,1,3,4,4,4,5,3,2,4,1,3,5,4,4,4,5,3,2,2,2,3,2,1,1,4.6,3,3.45,2.2
21,Male,0,ltuni,student,1e4,NA,2,7,Medium-Sized,Slovenia,Single,0,0,5,5,4,4,4,4,5,5,4,3,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,3,4,4,4,4,1,4,4,4,5,5,4,5,3,4,4,4,4,4,4,1,1,4.4,4.27,4.05,4
21,Female,0,ltuni,student,NA,NA,0,0,Village,Slovenia,Single,0,0,1,3,1,1,1,1,1,1,2,1,1,2,3,1,3,1,1,3,1,1,5,1,1,3,2,2,4,2,1,2,5,3,1,3,4,2,2,4,5,5,4,4,5,5,5,0,0,1.4,1.53,2.85,4.6
21,Female,0,ltuni,student,1e4,NA,0,0,Small City,Slovenia,Single,0,0,4,5,3,3,3,1,1,1,1,2,1,3,5,1,5,5,1,3,1,5,5,4,2,5,1,1,5,2,5,1,5,5,3,3,4,4,2,5,5,5,2,4,1,1,1,1,1,3.6,2.4,3.6,1.8
21,Male,0,ltuni,student,1e4,NA,0,0,Small Town,Slovenia,Single,0,0,5,5,5,5,5,4,1,3,4,4,5,5,4,3,5,3,1,5,1,4,5,3,5,4,5,4,5,4,5,2,2,5,5,4,5,4,5,5,5,4,1,1,2,2,1,1,1,5,3.47,4.3,1.4
37.5,Male,0,ma,full-time,67500,Technical director,1,2,Large-City,Russia,Married,0,0,4,4,4,3,4,2,3,4,3,3,4,2,3,2,3,3,2,2,4,5,2,1,2,2,3,1,2,3,4,4,2,4,4,2,4,4,1,3,1,2,2,3,3,2,1,1,0,3.8,3,2.55,2.2
23,Female,0,deg,student,NA,NA,3,0,Small Town,Barbados,Single,0,0,1,3,2,1,1,1,2,1,1,1,3,1,5,1,1,1,3,1,4,1,3,1,1,1,1,1,1,5,1,3,2,1,2,3,2,1,1,2,4,2,1,3,3,1,2,0,0,1.6,1.8,1.9,2
24,Female,0,deg,student,NA,NA,0,0,Large-City,Philippines,Single,0,0,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,4,2,3,4,4,4,4,3,3,3,2,2,1,1,1,2.4,2.67,3.2,2.2
