CntryOfRes,Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean,HDI,hdi_group
Andorra,55,Male,1,ma,full-time,25e4,Finance,23,0,Large-City,Married,0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,0,0,2,2.4,2.55,3.6,0.858,very high
Antigua,32.5,Male,1,dip,full-time,25e3,NA,6,0,Rural/Country,Divorced,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,1,1,3,3,3,2,NA,NA
Argentina,32.5,Female,0,deg,full-time,67500,manager,3,0,Large-City,Single,0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,1,0,1.8,1.87,2.35,3.6,0.827,very high
Argentina,67.5,Male,1,NA,part-time,15e4,BUSINESS CONSULTA,12,0,Small Town,Married,3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,NA,0,3,2.67,2.6,3.4,0.827,very high
Argentina,45,Male,1,deg,full-time,55e3,NA,7,0,Village,Married,1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,1,1,3.4,3,2.95,3.6,0.827,very high
Australia,55,Male,1,ma,full-time,35e3,NA,3,5,NA,Married,0,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,1,1,4,2.67,3.6,4.4,0.939,very high
Australia,55,Female,1,ma,student,15e3,NA,2,2,Medium-Sized,Married,0,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,1,0,1.8,1.87,2.1,4,0.939,very high
Australia,37.5,Male,0,high,full-time,15e4,NA,6,3,Village,Single,0,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,0,0,2.2,1.73,1.85,2.4,0.939,very high
Australia,28,Male,0,deg,student,15e3,NA,0,3,Small Town,Married,0,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,1,1,2.6,3.4,3,3.4,0.939,very high
Australia,32.5,Female,1,phd,student,45e3,NA,4,6,Village,Married,0,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,1,0,4.2,3.27,3.25,2.4,0.939,very high
Australia,20,Female,0,ltuni,student,1e4,NA,2,0,Village,Single,0,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,1,0,2,2.27,3.35,4.8,0.939,very high
Australia,45,Male,1,deg,full-time,67500,Physiotherapst,13,0,Large-City,Married,1,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,1,1,3,3.27,3.8,3.6,0.939,very high
Australia,23,Male,0,deg,student,1e4,NA,0,0,Small Town,Single,0,0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,1,1,3.8,3.67,2.9,1.8,0.939,very high
Australia,37.5,Male,1,deg,full-time,55e3,Writer,7,6,Large-City,Married,1,1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,1,1,2,2.13,2.15,2.4,0.939,very high
Australia,37.5,Male,1,deg,full-time,15e4,engineer,9,0,Large-City,Married,1,1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,1,1,5,3.33,3.55,2,0.939,very high
Australia,45,Female,0,phd,full-time,15e4,manager,1,0,Large-City,Married,0,0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,1,0,3,2.53,2.7,3.2,0.939,very high
Australia,28,Male,0,deg,full-time,67500,Market Analyst,1,6,Large-City,Single,0,0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,1,1,4,3.2,3.75,2.2,0.939,very high
Australia,32.5,Female,0,ma,full-time,45e3,Accountant,6,0,Large-City,Single,0,0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,0,0,1.8,1.67,2.1,2.8,0.939,very high
Australia,22,Female,0,deg,full-time,25e3,Administrative Assistant,0,5,Large-City,Single,0,0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,1,1,3.6,3.33,2.95,2.2,0.939,very high
Australia,28,Female,0,deg,part-time,67500,Market Analyst,2,0,Large Town,Single,0,0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,1,1,2.2,3.93,3.95,3.8,0.939,very high
Australia,37.5,Male,0,deg,student,1e4,NA,2,0,Large-City,Single,0,0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,1,1,5,4.67,3.95,1.8,0.939,very high
Australia,45,Male,1,deg,full-time,87500,Software & IT,13,0,Small City,Married,1,2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,1,1,3.2,3.8,3.25,3.8,0.939,very high
Australia,24,Female,1,high,part-time,25e3,Customer Service,6,2,Large-City,Single,1,0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,1,1,3,2.8,3.6,4.2,0.939,very high
Australia,32.5,Male,1,phd,full-time,67500,Software & IT,3,0,Large-City,Married,1,1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,1,0,4.2,3.07,3.45,3.4,0.939,very high
Australia,45,Female,1,ltuni,NA,NA,NA,0,0,Small City,Married,0,1,5,4,3,3,3,1,1,4,3,3,1,3,2,3,3,3,2,4,2,1,3,1,4,2,4,3,3,4,4,4,4,2,2,4,4,4,4,3,1,4,4,4,3,3,2,0,1,3.6,2.4,3.2,3.2,0.939,very high
Australia,45,Male,1,deg,full-time,15e4,engineer,10,0,Large-City,Divorced,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,1,1,4,3.6,3.6,2.8,0.939,very high
Australia,37.5,Female,0,deg,student,15e3,NA,2,0,Medium-Sized,Single,0,0,3,4,3,3,3,1,1,3,2,3,1,3,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,2,3,3,3,4,3,4,5,3,1,1,3.2,2.53,3,3.8,0.939,very high
Australia,45,Male,0,ltuni,full-time,67500,Internet & media consultant,8,0,Large-City,Married,0,0,3,3,2,3,3,1,1,4,2,2,1,2,3,2,4,1,1,2,1,3,3,2,3,2,1,3,3,3,3,2,2,3,2,3,3,5,5,3,3,2,2,3,3,1,4,0,0,2.8,2,2.8,2.6,0.939,very high
Australia,25,Male,0,deg,student,1e4,NA,0,0,Large-City,Single,0,0,2,1,1,1,1,1,1,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,3,2,1,4,4,1,4,5,4,5,1,1,4,4,1,2,5,5,3,4,2,4,2,1,1,1.2,2.73,2.9,3,0.939,very high
Australia,32.5,Female,1,dip,part-time,55e3,Business Owner,5,0,Large-City,Separated,0,1,3,2,4,2,2,3,1,3,1,3,4,3,4,3,3,2,1,3,1,4,3,1,2,1,4,3,5,3,4,1,1,4,3,2,3,5,5,3,3,3,2,2,2,2,2,1,1,2.6,2.6,2.95,2,0.939,very high
Australia,32.5,Male,0,ma,full-time,55e3,Information Technology Consultant,3,0,Small City,Married,0,0,4,4,5,5,5,1,1,5,2,5,3,5,5,5,5,3,1,2,1,2,4,3,2,2,4,3,5,5,5,4,2,5,1,3,4,5,4,5,5,4,2,5,3,3,4,1,1,4.6,3.07,3.75,3.4,0.939,very high
Australia,24,Male,0,ltuni,student,1e4,NA,0,0,Large Town,Single,0,0,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,4.47,5,1,0.939,very high
Australia,21,Female,0,deg,student,1e4,NA,4,6,Large-City,Single,0,0,5,5,4,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4.6,4.8,4.75,1,0.939,very high
Australia,22,Female,0,high,full-time,25e3,Housekeeping,0,6,Large-City,Single,0,0,3,1,5,2,3,1,1,5,1,2,1,5,2,1,1,5,1,5,1,5,5,3,2,2,4,1,5,4,5,2,4,4,1,2,4,5,5,4,5,5,4,4,4,3,3,1,0,2.8,2.47,3.6,3.6,0.939,very high
Australia,20,Male,0,ltuni,student,1e4,Web Communications,3,3,Medium-Sized,Single,0,0,4,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,5,5,2,4,4,4,3,2,4,3,2,4,3,4,4,4,3,1,2,1,1,1,1,1,4,3.6,3.55,1.2,0.939,very high
Australia,37.5,Male,0,deg,full-time,67500,Medical Practitioner,17,0,Large-City,Single,0,0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,1,1,4.2,3.73,4,1.4,0.939,very high
Australia,24,Male,0,ma,student,1e4,NA,0,3,Large-City,Single,0,0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,1,0,2.8,2.33,2.8,3.6,0.939,very high
Australia,32.5,Female,1,ma,full-time,67500,veterinarian,7,0,Small City,Married,1,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,1,1,3.6,3,3.8,4.2,0.939,very high
Australia,28,Female,0,ma,full-time,15e4,Management Consultant & Entrepreneur,1,0,Large-City,Married,0,0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,1,0,1.6,2.27,2.45,4.6,0.939,very high
Australia,45,Male,1,deg,full-time,55e3,Technical officer,1,9,Large-City,Married,0,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,1,0,2.2,1.8,2.15,3.6,0.939,very high
Australia,32.5,Male,0,ltuni,full-time,45e3,Service co-ordinator,0,7,Large-City,Single,0,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,1,1,3.6,4.07,4.1,1.6,0.939,very high
Australia,45,Male,1,ma,full-time,87500,NA,0,0,Village,Separated,0,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,1,1,3,2.67,4.15,2.2,0.939,very high
Australia,55,Male,0,lthigh,unemployed,15e3,NA,6,6,Rural/Country,Divorced,0,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,0,NA,2.8,1.93,2.7,1.2,0.939,very high
Australia,28,Female,0,deg,full-time,55e3,NA,1,4,NA,NA,0,0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,1,0,2.2,2.07,2.6,3.2,0.939,very high
Australia,45,Female,0,deg,full-time,35e3,NA,0,9,Medium-Sized,Single,0,0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,1,1,3.4,2.07,3.35,1.8,0.939,very high
Australia,45,Female,0,ma,full-time,67500,NA,2,0,Village,Married,0,0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,1,0,3,1.8,3.05,2.4,0.939,very high
Australia,23,Female,0,ltuni,student,1e4,NA,NA,0,Village,Single,0,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,1,1,5,4.07,4.5,1,0.939,very high
Australia,45,Female,1,deg,full-time,55e3,NA,6,0,Medium-Sized,Divorced,1,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,1,0,2.4,1.87,2.7,2,0.939,very high
Australia,32.5,Male,0,ma,full-time,35e3,NA,1,0,Village,Single,0,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,1,1,5,3.6,4,1,0.939,very high
Australia,19,Female,0,high,student,1e4,NA,0,5,Large Town,Single,0,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,0,0,2.2,1.87,2.05,3.8,0.939,very high
Australia,28,Female,0,deg,full-time,67500,NA,3,0,Village,Married,0,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,1,1,3.6,4.07,4.1,3,0.939,very high
Australia,45,Female,0,lthigh,retired,NA,NA,0,6,Village,Married,0,0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,1,0,3,1.67,3.2,3.4,0.939,very high
Australia,45,Female,1,deg,part-time,87500,NA,0,6,Medium-Sized,Single,0,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,1,0,2.8,2.33,3,2.4,0.939,very high
Australia,32.5,Female,0,ma,full-time,67500,NA,10,9,Small Town,Married,0,0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,1,0,3.2,1.8,3.1,4,0.939,very high
Australia,45,Male,1,phd,part-time,25e4,NA,9,0,Village,Married,5,3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,0,0,1.4,4.4,3.8,5,0.939,very high
Australia,28,Female,0,ltuni,full-time,55e3,NA,2,2,Village,Single,0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,1,1,4.4,4.27,4.05,1.6,0.939,very high
Australia,28,Female,0,ma,full-time,55e3,NA,1,0,Village,Single,0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,1,1,2.8,3.4,3,2.8,0.939,very high
Australia,55,Female,0,deg,full-time,15e3,NA,6,0,Village,Single,0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,0,0,1.8,2.07,2.2,5,0.939,very high
Australia,55,Female,1,dip,full-time,87500,NA,14,0,Village,Single,3,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,1,0,2.4,2.27,3.1,3.4,0.939,very high
Australia,19,Male,0,ltuni,student,15e3,NA,2,4,Village,Single,0,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,1,1,3.4,3.2,3.7,3.4,0.939,very high
Australia,45,Female,1,deg,full-time,87500,NA,4,0,Village,Married,3,1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,0,1,1,1.73,1.95,1,0.939,very high
Australia,22,Male,0,ltuni,student,1e4,NA,2,0,Village,Single,0,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,1,1,3.4,4.13,3.9,2.8,0.939,very high
Australia,28,Male,0,ltuni,part-time,15e3,NA,0,6,Village,Single,0,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,1,1,5,4.53,4.35,1.4,0.939,very high
Australia,28,Male,0,deg,full-time,35e3,NA,2,0,Village,Single,0,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,1,1,5,3.67,4.25,2.4,0.939,very high
Australia,28,Male,0,deg,full-time,45e3,NA,2,0,Village,Separated,0,0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,1,1,4.8,3.47,4.45,1,0.939,very high
Australia,28,Male,0,deg,student,1e4,NA,0,0,Village,Single,0,0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,1,1,3.2,3.33,3.4,2.2,0.939,very high
Australia,55,Male,1,phd,full-time,55e3,NA,0,0,Village,Married,1,2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,0,0,2.2,2.4,2.3,3,0.939,very high
Australia,37.5,Male,1,dip,full-time,45e3,NA,8,0,Rural/Country,Married,0,0,4,2,2,1,2,2,1,5,4,2,4,2,4,3,4,2,2,3,2,5,5,2,3,1,2,3,4,2,4,3,2,5,3,3,4,4,2,3,2,3,3,2,2,3,2,0,0,2.2,3,3,2.4,0.939,very high
Australia,23,Female,0,deg,student,15e3,NA,5,6,Village,Single,0,0,4,5,4,2,2,5,3,5,4,5,5,5,4,5,5,2,5,5,3,5,4,4,3,5,5,2,4,3,5,5,4,5,5,5,5,5,4,5,5,4,4,4,3,2,2,1,1,3.4,4.4,4.35,3,0.939,very high
Australia,67.5,Male,1,ltuni,full-time,NA,NA,NA,0,Village,Divorced,4,1,3,2,2,2,2,3,1,1,1,3,2,2,2,4,3,3,1,4,1,2,2,2,2,1,2,2,2,1,3,1,4,2,3,3,3,4,3,2,3,3,4,5,3,3,3,1,0,2.2,2.2,2.4,3.6,0.939,very high
Australia,25,Male,0,ma,unemployed,1e4,NA,0,0,Small Town,Married,0,0,3,4,3,3,3,4,2,2,3,4,5,3,4,5,4,4,3,5,2,3,5,3,3,4,4,4,4,3,5,5,3,4,3,3,4,4,5,5,4,5,2,3,3,2,1,1,1,3.2,3.53,4,2.2,0.939,very high
Australia,23,Female,0,ltuni,full-time,35e3,NA,0,6,Village,Single,0,0,4,4,3,4,4,2,2,3,3,5,5,5,4,4,4,3,3,3,3,4,5,3,3,5,4,3,5,4,5,2,4,5,2,3,4,4,4,5,5,5,2,2,2,1,3,1,1,3.8,3.53,4,2,0.939,very high
Australia,32.5,Male,0,lthigh,full-time,67500,NA,9,0,Village,Married,0,0,4,5,2,5,5,1,1,1,2,5,4,5,5,5,5,1,2,5,1,5,5,1,1,5,1,1,5,5,5,3,4,5,5,1,5,3,5,5,5,5,1,2,2,1,1,1,1,4.2,3.2,3.75,1.4,0.939,very high
Australia,25,Male,0,deg,student,25e3,NA,0,6,Village,Single,0,0,4,3,2,4,4,3,3,3,5,5,4,4,3,4,5,3,4,4,4,3,2,2,2,3,2,2,4,3,4,4,4,4,3,3,3,4,3,4,4,4,2,2,1,1,2,1,1,3.4,3.8,3.2,1.6,0.939,very high
